Id,Question,implicit_intermediate_question,implicit_answer_type,gpt_intermediate_question,gpt_answer_type,difference_type
210,"During the next House of Representatives election in Florida, what is the date for the Florida Legislature Elections?",When the next House of Representatives election in Florida occurs,date,When is the next House of Representatives election in Florida?,date,intermediate_question_different
211,Who was the chairperson of the Illinois State University (formerly known as the Illinois State Normal University) during the period that it was named the Illinois State University at Normal?,When Illinois State University was named the Illinois State University at Normal,time interval,When Illinois State University at Normal was renamed as Illinois State University,date,intermediate_question_and_answer_type_different
213,"After his time playing for CB Granada, what season did Joe Ingles average 10.3 points, 3.0 rebounds and 2.2 assists in six games at the FIBA World Championship?",When Joe Ingles played for CB Granada,time interval,When Joe Ingles was playing for CB Granada,time interval,intermediate_question_different
214,What was the first college established at the University of Notre Dame when it was founded by French priest Edward Sorin?,When the University of Notre Dame was founded by French priest Edward Sorin,date,When University of Notre Dame was founded by French priest Edward Sorin,time interval,intermediate_question_and_answer_type_different
216,Who illustrated Tarzan when the character was first introduced?,When the character Tarzan was first introduced,date,When Tarzan was first introduced,time interval,intermediate_question_and_answer_type_different
218,"After his loan with Derby County, what team did Avi Nimni become the coach of?",When Avi Nimni's loan with Derby County ended,time interval,When Avi Nimni finished his loan with Derby County,time interval,intermediate_question_different
219,What did the Wakefield UK Parliament constituency derive from when it was a borough constituency?,When Wakefield UK Parliament constituency was a borough constituency,time interval,When Wakefield UK Parliament constituency became a borough constituency,date,intermediate_question_and_answer_type_different
220,Who were the crew members of the Russian submarine Delfin when it was launched by the Russian Empire?,When the Russian submarine Delfin was launched by the Russian Empire,date,When Russian Empire launched the Russian submarine Delfin,date,intermediate_question_different
221,What radio program was airing on Air America's network when a scandal involving Evan Cohen and a Boys & Girls Club in New York started to generate negative publicity?,When a scandal involving Evan Cohen and a Boys & Girls Club in New York started to generate negative publicity,date,When the scandal involving Evan Cohen and the Boys & Girls Club in New York started to generate negative publicity,time interval,intermediate_question_and_answer_type_different
222,"After being born and raised near Hillsborough, North Carolina, what was William Woods Holden's 38th and 40th position?","When William Woods Holden was born and raised near Hillsborough, North Carolina",time interval,"When William Woods Holden was born and raised near Hillsborough, North Carolina",date,answer_type_different
225,"During Yuichiro Hata's tenure, which position did he hold?",When Yuichiro Hata's tenure occurred,time interval,When Yuichiro Hata held his position,time interval,intermediate_question_different
226,"During Pierre Harmel's tenure as Prime Minister of Belgium, what public office did he serve in?",When Pierre Harmel's tenure as Prime Minister of Belgium occurred,time interval,When Pierre Harmel served as Prime Minister of Belgium,time interval,intermediate_question_different
227,At which football club did Giorgos Nicolaou score no points or goals before joining Ayia Napa F.C.?,When Giorgos Nicolaou joined Ayia Napa F.C.,time interval,When Giorgos Nicolaou joined Ayia Napa F.C.,date,answer_type_different
229,At which tennis tournament did Anastasia Pavlyuchenkova reach her highest singles ranking of No 11?,When Anastasia Pavlyuchenkova reached her highest singles ranking of No 11,date,When Anastasia Pavlyuchenkova reached her highest singles ranking of No 11 in a tennis tournament,date,intermediate_question_different
230,Who was the chairperson of the Republican Party during Jodey Arrington's tenure?,When Jodey Arrington's tenure occurred,time interval,When Jodey Arrington's tenure at the Republican Party began,time interval,intermediate_question_different
231,In which sports season did Nesta Carter win the gold medal in the World Relay Championships 4x100m relay in Nassau and the Continental Cup 4x100m relay in Marrakech?,When Nesta Carter won the gold medal in the World Relay Championships 4x100m relay in Nassau and the Continental Cup 4x100m relay in Marrakech,date,When Nesta Carter won the gold medal in the World Relay Championships 4x100m relay and the Continental Cup 4x100m relay,time interval,intermediate_question_and_answer_type_different
234,"During the Transitional National Government of Somalia, what type of political system did the Transitional National (TNG) serve as the internationally recognized central government of Somalia?",When the Transitional National Government of Somalia existed,time interval,When was the Transitional National Government of Somalia established?,date,intermediate_question_and_answer_type_different
235,"During the time when the eastern part of the city center of Offenbach am Main was named Mathildenviertel, who was the head of government?",When the eastern part of the city center of Offenbach am Main was named Mathildenviertel,time interval,When the eastern part of the city center of Offenbach am Main was named Mathildenviertel,date,answer_type_different
